Query	Hit	E-value	Coverage (%)	Identity (%)
AT1G11755.1	SPBC2A9.06c	2.47233e-10	71	8
AT1G07615.1	SPAP8A3.11c	4.72755e-41	73	11
AT1G09300.2	SPAC12B10.05	8.86821e-87	91	12
AT1G73430.2	SPBC1539.05	3.23154e-38	66	7
AT1G14240.4	SPCC11E10.05c	2.29237e-40	79	9
AT1G56190.2	SPBC14F5.04c	1.83796e-120	95	17
AT1G30550.2	SPAC2G11.15c	2.54155e-51	89	14
AT1G36050.2	SPAC24B11.08c	1.3674e-68	96	12
AT1G68310.2	SPAC144.16	8.03657e-36	74	16
AT1G58280.3	SPAC5H10.03	2.68242e-16	75	10
AT1G09640.2	SPAC29A4.02c	3.54148e-21	68	10
AT1G67320.2	SPBC17D11.06	5.17048e-92	94	13
AT1G11860.3	SPAC31G5.14	1.47951e-118	91	15
AT1G72560.3	SPBP8B7.09c	2.41441e-65	98	8
AT1G36160.2	SPAC56E4.04c	0.0	99	13
AT1G49760.2	SPAC57A7.04c	1.05176e-146	55	18
AT1G43170.8	SPAPB8E5.06c	0.0	99	22
AT1G62180.2	SPAC13G7.06	6.30781e-19	54	9
AT1G16010.3	SPBC25H2.08c	2.16597e-22	77	9
AT1G20960.2	SPAC9.03c	0.0	87	16
AT1G71220.2	SPBPJ4664.06	0.0	85	10
AT1G73020.2	SPBC691.05c	8.47923e-09	70	8
AT1G79940.4	SPBC36B7.03	7.38569e-32	86	8
AT1G77180.3	SPCC188.11	2.39528e-79	64	16
AT2G04940.1	SPAC343.06c	1.49082e-38	65	12
AT2G02090.1	SPCC1235.05c	3.51486e-112	69	13
AT2G25170.1	SPAC3G6.01	1.59981e-153	52	13
AT2G37680.1	SPAP8A3.13c	2.26752e-17	72	11
AT2G44520.1	SPBC365.02c	7.13764e-46	60	12
AT2G18290.1	SPBC1A4.01	2.21575e-40	84	14
AT2G41500.1	SPAC227.12	1.02538e-102	76	13
AT2G26230.1	SPCC1223.09	3.96115e-36	93	10
AT2G37690.1	SPCC1322.13	3.006e-180	85	17
AT2G44100.1	SPAC22H10.12c	3.26456e-179	96	18
AT2G38730.1	SPBC1709.04c	1.58578e-67	84	19
AT2G41620.1	SPCC1620.11	7.5609e-16	79	7
AT2G17510.1	SPBC26H8.10	0.0	99	14
AT2G42490.1	SPAC2E1P3.04	1.82485e-114	73	12
AT2G30710.1	SPBC530.01	7.64926e-113	87	14
AT2G18390.1	SPAC22F3.05c	2.26705e-53	95	16
AT2G15790.1	SPAC1B3.03c	9.27092e-73	98	14
AT2G18450.1	SPAC1556.02c	0.0	99	22
AT2G15230.1	SPBC14C8.15	3.86528e-36	88	9
AT2G04900.1	SPAC1782.12c	4.98906e-12	79	11
AT2G47990.1	SPBC428.19c	2.86776e-64	92	9
AT2G46520.1	SPBC30B4.05	1.18878e-161	96	11
AT2G45790.1	SPAC1556.07	2.73443e-113	97	21
AT2G47210.1	SPAC9G1.13c	1.92009e-40	55	12
AT2G22400.1	SPAC23C4.17	3.59396e-122	90	11
AT2G43770.1	SPBC1289.11	9.42773e-93	88	14
AT2G03430.1	SPAC6C3.08	1.21849e-29	84	12
AT2G26300.1	SPAC23H3.13c	2.43749e-61	90	11
AT2G38770.1	SPBC646.02	8.60156e-68	74	8
AT2G21150.1	SPCC1020.12c	1.4542e-35	61	12
AT2G45730.1	SPBC800.08	2.357e-18	94	9
AT2G14255.1	SPAC2F7.10	2.5812e-51	90	10
AT2G46890.1	SPCC594.04c	6.19696e-14	71	9
AT2G31660.1	SPCC550.11	1.06445e-122	85	10
AT2G42810.1	SPBC3F6.01c	1.32264e-174	96	17
AT2G43330.1	SPAC4F8.15	6.39782e-54	79	12
AT2G27120.1	SPBC25H2.13c	0.0	99	13
AT2G24990.1	SPAC10F6.10	1.15302e-100	55	16
AT2G44270.1	SPBC2G5.03	7.57293e-163	89	22
AT2G26080.1	SPAC13G6.06c	0.0	93	17
AT2G28190.1	SPAC821.10c	8.62715e-43	64	17
AT2G39440.1	SPAC12B10.15c	9.39547e-10	70	10
AT2G18250.1	SPAC1F12.08	3.36059e-24	77	11
AT2G35340.1	SPBC19C2.01	0.0	80	19
AT2G25100.1	SPAC4G9.02	2.0565e-61	77	16
AT2G40490.1	SPCC4B3.05c	1.42605e-78	85	13
AT2G20280.1	SPBC28F2.02	1.79606e-27	75	11
AT2G20270.1	SPAC4F10.20	1.58312e-20	55	13
AT2G29150.1	SPAC8E11.10	8.08227e-32	91	11
AT2G17420.1	SPBC3F6.03	1.563e-143	84	21
AT2G20930.1	SPAC15A10.12c	9.97334e-10	98	9
AT2G26990.1	SPAPB17E12.04c	1.10519e-129	90	15
AT2G35370.1	SPBP19A11.01	2.65575e-43	74	17
AT2G19560.1	SPAC1B3.08	7.12931e-32	69	9
AT2G16440.1	SPCC16A11.17	0.0	85	16
AT2G25070.1	SPCC1223.11	1.1953e-73	92	14
AT2G16790.1	SPAC4G9.12	1.07358e-21	93	10
AT2G19540.1	SPBC1711.07	5.88632e-97	90	13
AT2G35390.1	SPCC1620.06c	1.49218e-86	87	14
AT2G44580.1	SPAC31A2.15c	1.72606e-07	81	7
AT2G42740.1	SPBC17G9.10	2.60348e-87	93	24
AT2G44610.1	SPAC4C5.02c	1.27112e-105	97	23
AT2G27020.1	SPCC1795.04c	5.28671e-73	92	16
AT2G44740.1	SPBC20F10.10	6.27089e-24	60	13
AT2G18220.1	SPAC1142.04	1.43902e-57	70	8
AT2G26140.1	SPCC965.04c	2.47544e-152	69	18
AT2G03270.1	SPCC737.07c	3.29876e-134	95	13
AT2G21410.1	SPAC16E8.07c	1.71424e-179	97	12
AT2G41860.1	SPACUNK12.02c	4.63324e-62	54	13
AT2G46230.1	SPBC32H8.04c	2.08084e-75	93	19
AT2G17900.1	SPBP8B7.07c	9.35579e-27	53	9
AT2G21390.1	SPBPJ4664.04	0.0	67	17
AT2G33040.1	SPBC1734.13	1.21772e-42	84	10
AT2G04650.1	SPBC13G1.02	4.01638e-104	98	13
AT2G13370.1	SPAC1783.05	0.0	55	14
AT2G46290.1	SPAC4D7.05	2.80803e-104	91	15
AT2G18600.1	SPCC777.10c	5.67293e-57	96	16
AT2G40190.1	SPCC330.08	1.1099e-106	89	14
AT2G30920.1	SPCC162.05	1.29768e-50	73	13
AT2G04660.1	SPBP23A10.04	2.58545e-74	59	11
AT2G39840.1	SPBC776.02c	0.0	92	26
AT2G20060.1	SPBC2D10.08c	6.24054e-25	65	11
AT2G40550.1	SPAC1687.04	4.58563e-30	86	8
AT2G47420.1	SPBC336.02	9.3802e-108	98	15
AT2G37190.1	SPCC16C4.13c	1.90503e-85	98	23
AT2G15430.1	SPCC1442.10c	1.30923e-48	60	14
AT2G38050.1	SPAC9.08c	8.76727e-18	88	10
AT2G18760.1	SPCP25A2.02c	0.0	57	17
AT2G40010.1	SPCC18.14c	8.22291e-90	98	15
AT2G38020.1	SPAC824.05	1.61871e-115	97	10
AT2G04540.1	SPBC887.13c	9.43409e-121	91	16
AT2G18040.1	SPCC16C4.03	3.1251e-34	95	15
AT2G17980.1	SPCC74.01	1.34776e-121	94	12
AT2G40090.1	SPBC15C4.02	2.92183e-75	83	11
AT2G16570.1	SPAC4D7.08c	1.49436e-75	77	12
AT2G38905.1	SPBC713.11c	1.09012e-13	92	18
AT2G18740.1	SPBC11G11.06c	5.47723e-31	91	19
AT2G19860.1	SPAC24H6.04	7.82218e-83	87	11
AT2G46110.1	SPAC5H10.09c	6.39576e-55	77	12
AT2G39990.1	SPBC4C3.07	5.03648e-39	87	12
AT2G13440.1	SPBC30B4.06c	4.43979e-113	79	13
AT2G04520.1	SPBC25H2.07	7.24661e-44	79	22
AT2G25280.1	SPAC4H3.04c	1.96487e-68	97	14
AT2G21260.1	SPAC26F1.07	5.5412e-56	96	12
AT2G38940.1	SPBC1683.01	4.91877e-65	91	12
AT2G26400.1	SPBC887.01	1.51532e-35	87	14
AT2G32960.1	SPBC17A3.03c	3.79708e-32	68	11
AT2G40730.1	SPAC15A10.13	1.52497e-40	69	8
AT2G39550.1	SPAC2E1P5.04c	2.8889e-35	80	11
AT2G17265.1	SPBC4C3.03	6.22568e-15	77	10
AT2G15240.1	SPBC25H2.14	1.49954e-46	88	12
AT2G34570.1	SPCC18.12c	3.31144e-25	81	9
AT2G42120.2	SPAC27E2.05	6.97558e-66	93	11
AT2G40360.1	SPBC4F6.13c	5.90408e-154	78	14
AT2G44510.1	SPCC613.08	6.91581e-32	63	12
AT2G40780.1	SPBC146.08c	6.57693e-10	59	10
AT2G04845.1	SPBC577.03c	1.79649e-38	80	15
AT2G16710.1	SPCC645.03c	2.04718e-29	76	15
AT2G41670.1	SPBC25B2.04c	4.04747e-28	55	10
AT2G33560.1	SPCC1795.01c	1.03322e-30	73	9
AT2G30870.1	SPCC965.07c	1.3554e-15	77	10
AT2G45270.1	SPCC1259.10	5.06795e-43	75	10
AT2G47730.1	SPCC965.07c	7.72036e-17	71	10
AT2G41790.1	SPACUNK4.12c	0.0	96	12
AT2G17790.1	SPCC777.13	2.55267e-145	93	13
AT2G45330.1	SPAC2C4.12c	8.10395e-38	66	12
AT2G03690.1	SPAC1687.12c	3.25829e-48	95	13
AT2G23960.1	SPAC13C5.04	2.36658e-17	91	9
AT2G45240.1	SPBC3E7.10	2.77216e-126	91	17
AT2G40700.1	SPBC21H7.04	5.7382e-97	90	12
AT2G34470.1	SPCPB16A4.05c	5.92057e-102	81	22
AT2G40290.1	SPAC3G9.09c	6.99739e-102	88	17
AT2G25830.1	SPBC8D2.12c	3.4269e-19	52	10
AT2G13540.1	SPAC6G10.07	4.70351e-31	73	8
AT2G36530.1	SPBC1815.01	0.0	98	20
AT2G23350.1	SPAC57A7.04c	3.12297e-130	57	17
AT2G39390.1	SPCC613.05c	6.02334e-32	96	19
AT2G25840.1	SPAC3G9.13c	1.0208e-63	82	12
AT2G28880.1	SPBP8B7.29	4.30395e-86	90	9
AT2G28860.1	SPAC19A8.04	1.08195e-70	92	10
AT2G20420.1	SPCC1620.08	2.57991e-136	93	16
AT2G21510.1	SPAC4H3.01	2.58511e-35	89	11
AT2G31450.1	SPAC30D11.07	1.24494e-56	61	16
AT2G27600.1	SPAC2G11.06	1.337e-141	98	17
AT2G29570.1	SPBC16D10.09	1.36626e-108	98	17
AT2G05830.1	SPBC23E6.10c	4.77836e-100	94	17
AT2G44680.1	SPAC1851.03	1.01897e-78	65	18
AT2G07690.1	SPAC1B2.05	0.0	99	16
AT2G03780.1	SPCC736.09c	1.80308e-26	78	11
AT2G27450.1	SPCC965.09	1.96434e-38	91	11
AT2G24170.1	SPBC1105.08	3.44443e-123	96	12
AT2G35920.1	SPBC15C4.05	2.08934e-98	76	12
AT2G31260.1	SPBC15D4.07c	4.59024e-80	61	10
AT2G34260.1	SPAC1A6.02	9.97713e-28	68	10
AT2G29990.1	SPAC3A11.07	2.20545e-90	87	12
AT2G31300.1	SPBC14C8.06	2.88019e-68	92	12
AT2G28720.1	SPCC622.09	6.35237e-47	55	26
AT2G24500.1	SPCC550.15c	2.64736e-30	63	10
AT2G34180.1	SPCC74.03c	7.00427e-58	50	14
AT2G30200.1	SPAC11G7.05c	9.00931e-19	74	10
AT2G30000.1	SPAC23H3.02c	5.85535e-56	94	23
AT2G34210.1	SPAC23C4.19	1.27496e-68	74	10
AT2G14110.1	SPBP8B7.31	2.37487e-17	63	12
AT2G28390.1	SPAC1D4.03c	1.09454e-29	70	8
AT2G20490.1	SPAP27G11.13c	2.55313e-22	89	21
AT2G21790.1	SPAC1F7.05	0.0	99	21
AT2G03820.1	SPAC16C9.03	2.35506e-131	89	14
AT2G05630.1	SPBP8B7.24c	5.92841e-63	96	24
AT2G34360.1	SPAC323.07c	3.30649e-73	91	11
AT2G34050.1	SPAC3A12.12	1.25504e-11	67	9
AT2G34357.1	SPAPB8E5.07c	1.75498e-60	58	9
AT2G30260.1	SPBC4B4.07c	9.46392e-46	96	11
AT2G06530.1	SPAC4F8.01	2.78946e-40	99	12
AT2G32600.1	SPBC21C3.05	1.04283e-61	64	18
AT2G20580.1	SPBP19A11.03c	0.0	94	16
AT2G33730.1	SPCC63.11	1.47737e-168	74	16
AT2G32220.1	SPCC74.05	1.23394e-41	99	16
AT2G01070.1	SPAC26H5.07c	8.1602e-20	78	7
AT2G44050.1	SPBC409.13	1.60797e-22	61	12
AT2G27970.1	SPBC1734.14c	6.42277e-24	95	17
AT2G39590.1	SPAC5D6.01	2.15941e-69	94	23
AT2G32410.1	SPAC323.06c	2.02047e-97	98	10
AT2G29260.1	SPCC1739.08c	5.37223e-23	77	9
AT2G34970.1	SPAC8C9.15c	4.04189e-125	89	11
AT2G38670.1	SPAC15E1.05c	1.68361e-55	64	12
AT2G44070.1	SPAC21E11.06	5.55093e-91	96	15
AT2G36230.1	SPAC3F10.09	1.54033e-84	83	16
AT2G16940.1	SPAC19G12.07c	3.24226e-51	68	12
AT2G03120.1	SPAC25B8.17	3.36053e-43	87	11
AT2G20690.1	SPCC1450.13c	5.92011e-62	72	17
AT2G32720.1	SPBC29A10.16c	1.96772e-25	58	16
AT2G36190.1	SPAC8E11.01c	6.52919e-24	52	10
AT2G27200.1	SPAC3F10.16c	2.06328e-103	71	14
AT2G34980.1	SPCC550.04c	6.85112e-18	53	12
AT2G36930.1	SPAC19B12.11c	2.54983e-11	51	11
AT2G43360.1	SPCC1235.02	2.30769e-139	81	20
AT2G07050.1	SPAC13G7.01c	0.0	85	14
AT2G19760.1	SPAC4A8.15c	2.70099e-20	96	12
AT2G22500.1	SPAC139.02c	8.8923e-35	98	10
AT2G31170.1	SPAC29E6.06c	2.45352e-63	70	12
AT2G05170.1	SPAC823.12	9.15663e-52	79	9
AT2G20330.1	SPAC343.17c	1.22154e-65	72	11
AT2G01290.1	SPAC144.12	4.84753e-36	86	13
AT2G37790.1	SPAC26F1.07	6.47812e-66	84	15
AT2G32070.1	SPCC18.06c	5.2687e-91	95	16
AT2G35035.1	SPAC3A12.09c	5.3159e-29	72	11
AT2G32730.1	SPBC17D11.07c	0.0	95	14
AT2G30390.1	SPCC320.09	3.10654e-64	62	12
AT2G39800.2	SPAC821.11	2.1532e-94	64	14
AT2G37020.1	SPAC30.03c	4.40256e-25	67	11
AT2G21470.1	SPBC16H5.03c	1.68517e-118	80	14
AT2G43400.1	SPAC20G8.04c	0.0	89	17
AT2G30360.1	SPCC74.03c	1.14478e-73	59	15
AT2G09990.1	SPBC18H10.14	3.54786e-73	94	23
AT2G31200.1	SPAC20G4.06c	7.23963e-36	92	14
AT2G14660.1	SPBC21.03c	2.35537e-08	88	9
AT2G25950.1	SPBP35G2.02	5.64313e-29	91	12
AT2G29940.1	SPCC18B5.01c	1.64497e-133	83	10
AT2G44660.1	SPAC17C9.07	1.19141e-99	94	14
AT2G39630.1	SPBC56F2.10c	1.36681e-50	78	12
AT2G01250.1	SPBC18H10.12c	8.32906e-94	97	19
AT2G01690.1	SPBC25H2.03	3.34638e-117	80	14
AT2G07698.1	SPAC14C4.14	0.0	62	22
AT2G27760.1	SPAC343.15	9.21057e-44	54	12
AT2G29370.1	SPAC22A12.17c	9.40574e-33	91	11
AT2G36130.1	SPAC57A10.03	2.88917e-65	92	21
AT2G39020.1	SPAC1002.07c	9.46215e-28	83	9
AT2G35020.1	SPBC1289.08	9.01825e-75	74	13
AT2G29360.1	SPAC22A12.17c	2.10204e-24	90	11
AT2G32830.1	SPBC8E4.01c	1.43632e-65	91	12
AT2G33840.1	SPCC1672.05c	1.27797e-29	88	9
AT2G36300.1	SPCC61.04c	9.32141e-14	67	11
AT2G36310.1	SPBC1683.06c	8.15711e-68	81	13
AT2G44140.2	SPAC19B12.08	1.33088e-30	77	10
AT2G37560.2	SPBC685.09	1.09627e-41	91	10
AT2G44120.2	SPBC18H10.12c	1.08641e-92	96	19
AT2G32060.2	SPCC962.04	3.19068e-36	76	16
AT2G38130.2	SPBC15D4.06	2.18446e-47	73	16
AT2G27530.2	SPCC1183.08c	9.36215e-91	99	21
AT2G40110.2	SPAPJ691.02	1.15301e-22	90	13
AT2G44350.2	SPAC6C3.04	1.21148e-180	89	20
AT2G32160.2	SPBC1778.07	1.96354e-73	87	12
AT2G38290.1	SPCPB1C11.01	2.32873e-42	73	10
AT2G38280.2	SPBC106.04	0.0	69	18
AT2G01170.1	SPBC15C4.04c	7.65505e-81	97	11
AT2G16460.1	SPAC2C4.09	2.44848e-22	83	9
AT2G47470.1	SPAC17H9.14c	1.48251e-89	87	14
AT2G23820.2	SPCC4G3.17	5.1244e-53	68	16
AT2G27490.2	SPCC14G10.01	1.38047e-38	82	13
AT2G03870.1	SPCC285.12	7.96767e-34	94	18
AT2G05590.2	SPAC8C9.16c	9.28881e-11	55	10
AT2G37410.2	SPAC3A12.16c	4.74229e-33	56	16
AT2G39725.2	SPAC664.12c	8.63964e-12	79	12
AT2G40810.2	SPAC458.06	3.79819e-47	61	12
AT2G47020.1	SPAC2F7.17	4.19346e-67	74	13
AT2G06210.1	SPAC27D7.14c	6.07003e-42	67	8
AT2G16950.2	SPAC2F3.06c	3.14698e-160	96	12
AT2G21070.2	SPAC27D7.08c	5.90283e-44	76	11
AT2G21270.2	SPBC16A3.09c	6.06972e-64	69	14
AT2G26000.2	SPAC16E8.13	1.60969e-79	81	13
AT2G26590.3	SPBC342.04	1.88457e-24	81	10
AT2G29540.2	SPAC1687.01	7.2938e-13	66	10
AT2G34250.2	SPBC354.02c	2.46799e-176	97	18
AT2G34630.2	SPBPJ4664.01	3.842e-69	79	13
AT2G37270.2	SPAC328.10c	3.2726e-103	99	23
AT2G37770.2	SPAC26F1.07	5.21756e-74	82	15
AT2G38710.2	SPAC688.03c	2.34556e-35	86	12
AT2G42810.2	SPBC3F6.01c	1.39326e-124	59	18
AT2G26970.2	SPBC1347.07	7.76142e-42	85	13
AT2G33340.3	SPAC29A4.08c	1.06543e-48	87	10
AT2G40570.2	SPAC3F10.06c	2.8596e-52	63	12
AT2G47760.2	SPAC7D4.06c	1.14731e-62	79	13
AT2G29530.2	SPAC222.03c	2.82844e-17	76	15
AT2G44860.2	SPAC22E12.13c	6.61469e-54	99	16
AT2G19730.3	SPAC1687.06c	8.82953e-17	85	11
AT2G27170.2	SPAC10F6.09c	0.0	99	12
AT2G43810.2	SPAC2F3.17c	2.56846e-32	75	21
AT2G42330.2	SPAC1486.03c	3.6582e-43	57	9
AT2G03667.1	SPBC4F6.11c	8.65521e-66	80	11
AT2G24200.2	SPAC13A11.05	1.3505e-54	58	13
AT2G30970.2	SPBC725.01	5.56241e-143	92	16
AT2G37500.2	SPBC1271.14	3.02546e-69	98	13
AT2G11000.2	SPBC1861.03	1.57681e-11	59	7
AT2G24490.2	SPCC1753.01c	1.30299e-25	84	10
AT2G15910.2	SPAC8F11.02c	3.52757e-22	96	15
AT2G34660.2	SPAC3F10.11c	0.0	76	12
AT2G35040.2	SPCPB16A4.03c	3.77991e-60	82	11
AT2G39770.2	SPCC1906.01	4.45468e-161	99	20
AT2G13650.3	SPAC144.18	1.36478e-41	93	10
AT2G47110.2	SPAC6G10.11c	3.48571e-67	93	28
AT2G30410.2	SPAC8E11.07c	2.99349e-08	94	10
AT2G27710.4	SPAC1071.08	4.39818e-21	66	18
AT3G52390.1	SPBC17A3.08	6.19454e-82	92	14
AT3G61140.1	SPBC215.03c	2.4031e-36	81	9
AT3G58140.1	SPCC736.03c	7.72539e-112	83	16
AT3G20050.1	SPBC12D12.03	0.0	96	21
AT3G42050.1	SPAC7D4.10	7.08413e-38	93	8
AT3G22845.1	SPCC24B10.17	3.4725e-15	63	10
AT3G55070.1	SPBC106.13	3.04746e-42	89	9
AT3G66658.2	SPBC21C3.15c	3.41571e-123	83	12
AT3G16980.1	SPAPYUG7.04c	1.08413e-31	99	15
AT3G55440.1	SPCC24B10.21	1.22017e-93	96	19
AT3G42660.1	SPAPB1E7.02c	3.26167e-49	68	9
AT3G06060.1	SPCC1450.15	3.9176e-20	77	9
AT3G50520.1	SPAC1687.21	9.84385e-18	88	11
AT3G04780.1	SPBC577.08c	3.59651e-29	97	12
AT3G49640.1	SPBC1709.06	3.05518e-57	93	11
AT3G62310.1	SPBC16H5.10c	0.0	90	22
AT3G20060.1	SPCC1259.15c	5.15082e-62	87	18
AT3G51800.1	SPAC23H4.09	8.77445e-73	85	14
AT3G26340.1	SPAC4A8.13c	1.99687e-83	73	19
AT3G17770.1	SPAC977.16c	1.12034e-83	95	11
AT3G49660.1	SPBC354.03	6.18914e-63	72	13
AT3G03250.1	SPCC1322.04	7.51087e-158	98	17
AT3G51830.1	SPBC19F5.03	7.63603e-82	87	11
AT3G08950.1	SPBC119.06	3.39396e-56	60	14
AT3G51520.1	SPCC1235.15	2.78452e-32	76	10
AT3G06670.1	SPBC216.01c	2.6982e-65	69	9
AT3G03800.1	SPCC825.03c	8.96809e-18	80	8
AT3G16090.1	SPBC17D11.02c	2.26923e-46	64	11
AT3G19210.1	SPAC15A10.03c	1.30197e-165	63	15
AT3G53900.1	SPAC1002.17c	1.19649e-34	90	10
AT3G02710.1	SPAC1952.06c	1.59647e-68	85	10
AT3G20630.1	SPBC6B1.06c	1.14905e-125	98	11
AT3G06170.1	SPAPB1A10.07c	1.40612e-27	93	9
AT3G25980.1	SPBC20F10.06	2.80183e-61	90	14
AT3G48730.1	SPCC417.11c	9.09336e-44	85	10
AT3G55200.1	SPAPJ698.03c	0.0	99	14
AT3G62940.1	SPAC1952.03	8.64961e-21	98	9
AT3G51460.1	SPBC19F5.03	2.11084e-95	93	12
AT3G27640.1	SPAC17H9.19c	3.9169e-31	63	11
AT3G48750.1	SPBC11B10.09	2.35974e-141	98	21
AT3G61110.1	SPBC1685.10	1.20819e-35	89	26
AT3G50360.1	SPCC1682.04	1.26193e-39	83	15
AT3G20010.1	SPBC23E6.02	2.29306e-101	60	11
AT3G47360.1	SPBC30D10.05c	2.18171e-25	60	12
AT3G08960.1	SPCC1322.06	1.33443e-46	98	7
AT3G11830.1	SPBC25H2.12c	0.0	95	21
AT3G13050.1	SPAPB1E7.08c	1.53033e-13	94	8
AT3G09720.1	SPAC22F3.08c	8.65999e-108	71	15
AT3G16260.1	SPAC1D4.10	3.83835e-55	67	10
AT3G58180.1	SPAC30C2.02	1.13882e-64	91	14
AT3G15710.1	SPBC1685.03	2.52081e-31	87	15
AT3G24830.1	SPAC23A1.11	5.88568e-72	91	18
AT3G54660.1	SPBC17A3.07	2.42266e-100	79	13
AT3G04080.1	SPAC824.08	4.64916e-49	86	11
AT3G18190.1	SPBC106.06	0.0	96	20
AT3G62840.1	SPAC2C4.03c	1.0113e-44	98	20
AT3G56440.1	SPAC458.06	3.45798e-49	67	11
AT3G48000.1	SPAC9E9.09c	0.0	87	17
AT3G12380.1	SPBC365.10	9.92342e-89	97	10
AT3G62870.1	SPBC29A3.04	8.09292e-91	84	21
AT3G11500.1	SPBC4B4.05	4.08799e-20	92	15
AT3G54860.1	SPBC1703.15c	1.61925e-72	96	10
AT3G11510.1	SPBC18H10.13	2.43567e-50	82	26
AT3G07100.1	SPAC22F8.08	3.33611e-123	69	11
AT3G12050.1	SPBC1711.08	8.0654e-28	93	8
AT3G48990.1	SPCC1827.03c	4.55743e-138	90	16
AT3G52590.1	SPAC11G7.04	6.46605e-84	99	30
AT3G04400.1	SPCC1322.11	3.43552e-79	97	25
AT3G59650.1	SPBC19C2.12	1.55501e-18	87	10
AT3G60860.1	SPAC4D7.01c	0.0	94	9
AT3G07180.1	SPAC1F12.09	2.95109e-20	93	7
AT3G45640.1	SPAC24B11.06c	1.3136e-119	93	16
AT3G05590.1	SPAPB17E12.13	4.15047e-74	99	20
AT3G13440.1	SPAC323.05c	3.96561e-30	75	12
AT3G25940.1	SPCC1259.03	2.69572e-14	90	10
AT3G27440.1	SPCC162.11c	1.04723e-81	87	11
AT3G46820.1	SPBC776.02c	4.33316e-177	95	25
AT3G10610.1	SPBC839.05c	7.39409e-55	99	20
AT3G10410.1	SPAC19G12.10c	3.0499e-87	78	13
AT3G10390.1	SPBC146.09c	3.66944e-30	57	8
AT3G11400.1	SPBC18H10.03	3.10052e-52	86	12
AT3G44680.1	SPBC36.05c	7.38098e-168	93	18
AT3G12170.1	SPAC1071.09c	1.62691e-19	62	11
AT3G62040.1	SPAC24B11.05	6.80265e-25	86	11
AT3G12180.1	SPAC30C2.05	6.0204e-14	90	10
AT3G03110.1	SPAC1805.17	0.0	98	15
AT3G13230.1	SPAC2C4.11c	2.2666e-75	93	17
AT3G44600.1	SPCC553.04	1.0268e-138	91	13
AT3G18060.1	SPAC9G1.05	1.50912e-102	99	11
AT3G10330.1	SPAC16E8.16	2.25601e-60	95	13
AT3G60830.1	SPBC32H8.12c	2.93237e-66	99	12
AT3G13320.1	SPCC1795.02c	2.13528e-75	88	12
AT3G45740.1	SPAC22A12.08c	8.89505e-46	77	11
AT3G46460.1	SPBC1105.09	2.77391e-61	88	22
AT3G44620.1	SPAC1071.12c	2.64633e-37	67	14
AT3G46960.1	SPCC550.03c	0.0	78	14
AT3G12110.1	SPBC32H8.12c	0.0	98	28
AT3G10370.1	SPCC1223.03c	3.63829e-128	89	14
AT3G04820.1	SPBC1A4.09	8.47627e-106	95	11
AT3G13800.1	SPCC777.06c	5.07613e-64	78	13
AT3G04830.1	SPBC15C4.01c	9.2251e-30	63	10
AT3G12290.1	SPBC839.16	4.92792e-90	96	16
AT3G11710.1	SPBC17G9.03c	0.0	84	18
AT3G11630.1	SPCC576.03c	5.63857e-65	71	17
AT3G44340.1	SPBC4.03c	1.23959e-119	66	11
AT3G20410.1	SPACUNK12.02c	5.87284e-56	53	13
AT3G07960.1	SPAC19G12.14	8.11601e-64	53	12
AT3G20390.1	SPBC2G2.04c	1.93928e-28	57	15
AT3G43660.1	SPBC1683.10c	1.26678e-22	85	14
AT3G08530.1	SPAC26A3.05	0.0	95	16
AT3G11070.1	SPAC17C9.06	3.30249e-17	77	8
AT3G06010.1	SPAC1250.01	0.0	55	17
AT3G11900.1	SPAC3H1.09c	1.98527e-33	98	9
AT3G48150.1	SPAC6F12.14	3.5991e-118	95	14
AT3G16480.1	SPBP23A10.15c	1.56135e-49	84	11
AT3G05710.1	SPAC823.05c	1.31722e-27	71	11
AT3G03773.1	SPAC9E9.13	2.03595e-13	74	13
AT3G22880.1	SPAC8E11.03c	1.49887e-126	93	18
AT3G62700.1	SPAC3F10.11c	0.0	83	12
AT3G59340.1	SPCC320.08	1.87526e-53	77	13
AT3G07050.1	SPBC26H8.08c	8.97515e-64	66	13
AT3G10640.1	SPCC162.06c	6.94368e-40	81	13
AT3G16640.1	SPAC1F12.02c	3.67575e-29	96	13
AT3G52560.1	SPCC338.05c	5.00122e-53	91	19
AT3G13110.1	SPAC1039.08	3.6646e-58	61	13
AT3G50000.1	SPAC23C11.11	8.39058e-158	82	22
AT3G08980.1	SPBC336.13c	8.68287e-26	92	12
AT3G59380.1	SPAPB1A10.04c	2.271e-45	65	13
AT3G05940.1	SPAC30D11.06c	9.14364e-33	59	11
AT3G08730.1	SPCC24B10.07	3.1419e-95	70	15
AT3G33520.1	SPCC550.12	5.70348e-69	98	10
AT3G07880.1	SPAC6F12.06	2.0824e-31	73	11
AT3G53750.1	SPBC32H8.12c	0.0	98	29
AT3G17910.1	SPBC1215.01	1.05478e-20	74	9
AT3G59630.1	SPBC17D1.02	1.04484e-79	98	11
AT3G14400.1	SPCC1682.12c	7.17744e-75	52	14
AT3G54140.1	SPBC13A2.04c	2.51944e-34	89	9
AT3G57870.1	SPAC30D11.13	1.87452e-70	95	20
AT3G24350.1	SPBC8D2.14c	3.19215e-40	96	11
AT3G24090.1	SPBC12C2.11	0.0	99	16
AT3G53020.1	SPCC330.14c	9.80461e-30	61	15
